ProductID,ProductName,Category,Brand,CostPrice,SellingPrice
1000,Laptop 0,Electronics,Dell,50000,65000
1001,Mouse 1,Accessories,Logitech,500,700
1002,Keyboard 2,Accessories,HP,800,1200
1003,Monitor 3,Electronics,Samsung,12000,15000
1004,SSD 4,Storage,Kingston,4500,6000
1005,Router 5,Networking,TP-Link,3000,4500
1006,Printer 6,Electronics,Canon,7000,9000
1007,Webcam 7,Electronics,Logitech,2500,3200
1008,USB Drive 8,Storage,SanDisk,500,800
1009,Headphones 9,Accessories,Sony,1800,2500
1010,Laptop 10,Electronics,Dell,50000,65000
1011,Mouse 11,Accessories,Logitech,500,700
1012,Keyboard 12,Accessories,HP,800,1200
1013,Monitor 13,Electronics,Samsung,12000,15000
1014,SSD 14,Storage,Kingston,4500,6000
1015,Router 15,Networking,TP-Link,3000,4500
1016,Printer 16,Electronics,Canon,7000,9000
1017,Webcam 17,Electronics,Logitech,2500,3200
1018,USB Drive 18,Storage,SanDisk,500,800
1019,Headphones 19,Accessories,Sony,1800,2500
1020,Laptop 20,Electronics,Dell,50000,65000
1021,Mouse 21,Accessories,Logitech,500,700
1022,Keyboard 22,Accessories,HP,800,1200
1023,Monitor 23,Electronics,Samsung,12000,15000
1024,SSD 24,Storage,Kingston,4500,6000
1025,Router 25,Networking,TP-Link,3000,4500
1026,Printer 26,Electronics,Canon,7000,9000
1027,Webcam 27,Electronics,Logitech,2500,3200
1028,USB Drive 28,Storage,SanDisk,500,800
1029,Headphones 29,Accessories,Sony,1800,2500
1030,Laptop 30,Electronics,Dell,50000,65000
1031,Mouse 31,Accessories,Logitech,500,700
1032,Keyboard 32,Accessories,HP,800,1200
1033,Monitor 33,Electronics,Samsung,12000,15000
1034,SSD 34,Storage,Kingston,4500,6000
1035,Router 35,Networking,TP-Link,3000,4500
1036,Printer 36,Electronics,Canon,7000,9000
1037,Webcam 37,Electronics,Logitech,2500,3200
1038,USB Drive 38,Storage,SanDisk,500,800
1039,Headphones 39,Accessories,Sony,1800,2500
1040,Laptop 40,Electronics,Dell,50000,65000
1041,Mouse 41,Accessories,Logitech,500,700
1042,Keyboard 42,Accessories,HP,800,1200
1043,Monitor 43,Electronics,Samsung,12000,15000
1044,SSD 44,Storage,Kingston,4500,6000
1045,Router 45,Networking,TP-Link,3000,4500
1046,Printer 46,Electronics,Canon,7000,9000
1047,Webcam 47,Electronics,Logitech,2500,3200
1048,USB Drive 48,Storage,SanDisk,500,800
1049,Headphones 49,Accessories,Sony,1800,2500
1050,Laptop 50,Electronics,Dell,50000,65000
1051,Mouse 51,Accessories,Logitech,500,700
1052,Keyboard 52,Accessories,HP,800,1200
1053,Monitor 53,Electronics,Samsung,12000,15000
1054,SSD 54,Storage,Kingston,4500,6000
1055,Router 55,Networking,TP-Link,3000,4500
1056,Printer 56,Electronics,Canon,7000,9000
1057,Webcam 57,Electronics,Logitech,2500,3200
1058,USB Drive 58,Storage,SanDisk,500,800
1059,Headphones 59,Accessories,Sony,1800,2500
1060,Laptop 60,Electronics,Dell,50000,65000
1061,Mouse 61,Accessories,Logitech,500,700
1062,Keyboard 62,Accessories,HP,800,1200
1063,Monitor 63,Electronics,Samsung,12000,15000
1064,SSD 64,Storage,Kingston,4500,6000
1065,Router 65,Networking,TP-Link,3000,4500
1066,Printer 66,Electronics,Canon,7000,9000
1067,Webcam 67,Electronics,Logitech,2500,3200
1068,USB Drive 68,Storage,SanDisk,500,800
1069,Headphones 69,Accessories,Sony,1800,2500
1070,Laptop 70,Electronics,Dell,50000,65000
1071,Mouse 71,Accessories,Logitech,500,700
1072,Keyboard 72,Accessories,HP,800,1200
1073,Monitor 73,Electronics,Samsung,12000,15000
1074,SSD 74,Storage,Kingston,4500,6000
1075,Router 75,Networking,TP-Link,3000,4500
1076,Printer 76,Electronics,Canon,7000,9000
1077,Webcam 77,Electronics,Logitech,2500,3200
1078,USB Drive 78,Storage,SanDisk,500,800
1079,Headphones 79,Accessories,Sony,1800,2500
1080,Laptop 80,Electronics,Dell,50000,65000
1081,Mouse 81,Accessories,Logitech,500,700
1082,Keyboard 82,Accessories,HP,800,1200
1083,Monitor 83,Electronics,Samsung,12000,15000
1084,SSD 84,Storage,Kingston,4500,6000
1085,Router 85,Networking,TP-Link,3000,4500
1086,Printer 86,Electronics,Canon,7000,9000
1087,Webcam 87,Electronics,Logitech,2500,3200
1088,USB Drive 88,Storage,SanDisk,500,800
1089,Headphones 89,Accessories,Sony,1800,2500
1090,Laptop 90,Electronics,Dell,50000,65000
1091,Mouse 91,Accessories,Logitech,500,700
1092,Keyboard 92,Accessories,HP,800,1200
1093,Monitor 93,Electronics,Samsung,12000,15000
1094,SSD 94,Storage,Kingston,4500,6000
1095,Router 95,Networking,TP-Link,3000,4500
1096,Printer 96,Electronics,Canon,7000,9000
1097,Webcam 97,Electronics,Logitech,2500,3200
1098,USB Drive 98,Storage,SanDisk,500,800
1099,Headphones 99,Accessories,Sony,1800,2500
